Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,ylabel
1,Famine,0,139,199,199,199,37.8319,0
1,Famine,0,80,119,119,80,342.4708,1
1,Hurricane,1,199,80,80,20,197.2777,0
2,Flood,1,179,238,417,99,138.5577,2
2,Hurricane,1,239,219,358,258,125.3635,1
1,Famine,0,199,99,99,159,161.698,0
1,Famine,0,179,100,100,159,274.0164,0
1,Famine,0,80,139,139,80,113.7036,0
1,Flood,0,119,159,159,219,98.1759,2
1,Famine,0,199,139,139,179,127.9932,0
1,Famine,1,159,259,259,120,321.0876,1
1,Famine,0,199,179,179,179,289.5155,0
1,Hurricane,1,80,298,298,119,96.9239,1
1,Hurricane,1,139,239,239,219,140.6289,1
1,Famine,0,0,239,239,279,0,0
1,Famine,0,119,179,179,139,242.8482,1
1,Famine,0,219,199,199,80,76.6632,0
1,Flood,1,20,1036,1036,359,341.9521,2
1,Flood,1,179,219,219,219,333.4764,2
1,Famine,0,199,179,179,80,348.023,0
1,Hurricane,0,179,259,259,139,90.8102,0
1,Famine,0,258,80,80,119,176.5574,1
1,Flood,0,179,219,219,338,198.2303,2
1,Hurricane,1,199,119,119,139,236.244,1
1,Famine,0,179,219,219,179,282.799,0
2,Famine,0,338,139,219,179,227.2427,0
1,Famine,0,258,179,179,139,115.5011,0
3,Famine,0,358,139,377,199,327.3912,0
2,Famine,0,179,199,418,219,195.523,0
1,Flood,1,179,338,338,139,668.5825,2
1,Flood,1,219,179,179,20,65.0019,2
1,Flood,1,139,139,139,99,365.5123,2
1,Hurricane,1,139,99,99,139,118.2582,1
1,Flood,0,119,179,179,99,237.4279,2
2,Famine,0,219,179,398,239,81.7206,1
1,Flood,1,179,179,179,119,699.7042,2
1,Flood,1,139,139,139,179,118.3311,2
1,Flood,1,139,139,139,80,285.7866,2
1,Famine,1,219,298,298,159,254.1776,1
1,Famine,0,80,80,80,119,153.5489,1
2,Flood,1,179,259,399,179,188.6299,2
2,Famine,0,139,119,298,99,469.3533,0
1,Famine,0,139,159,159,99,607.2967,0
1,Famine,0,99,80,80,179,250.3003,1
1,Famine,1,99,139,139,179,90.312,0
1,Famine,0,99,139,139,80,236.6648,1
2,Flood,0,80,80,219,179,154.6165,2
1,Famine,0,199,179,179,99,174.018,1
3,Famine,0,119,119,457,99,122.001,0
1,Famine,0,278,99,99,99,96,1
1,Famine,0,199,259,259,139,158.2024,1
1,Famine,0,318,179,179,278,85.5015,1
1,Famine,0,99,119,119,99,112.6998,1
1,Famine,0,139,139,139,199,61.4003,1
1,Hurricane,0,119,139,139,100,576.5312,0
1,Famine,0,80,199,199,159,368.541,1
1,Famine,0,298,199,199,119,130.0779,1
1,Flood,0,119,179,179,179,159.0951,2
2,Famine,1,119,99,417,99,228.6099,1
1,Famine,0,179,119,119,139,158.2024,1
1,Famine,1,159,99,99,80,112.641,1
1,Famine,0,139,80,80,100,158.0791,1
1,Famine,0,119,99,99,159,268.8438,0
1,Hurricane,1,80,99,99,119,249.3842,0
1,Flood,1,179,139,139,298,121.0806,2
1,Famine,0,119,139,139,139,503.4047,1
1,Flood,0,259,258,258,199,87.4714,2
1,Famine,0,99,159,159,139,100.4502,1
1,Famine,1,199,258,258,80,484.3537,0
3,Flood,0,119,80,279,139,209.9434,2
1,Famine,1,139,99,99,99,100.7782,1
2,Famine,0,139,258,397,219,358.2304,1
1,Flood,0,179,199,199,259,211.0148,2
1,Famine,0,139,239,239,279,329.3543,0
1,Famine,0,179,258,258,139,490.5928,0
1,Famine,0,239,119,119,139,176.0178,0
2,Flood,1,80,20,239,239,253.1664,2
1,Famine,1,179,239,239,199,100.6541,1
1,Flood,1,159,219,219,139,115.5011,2
1,Famine,0,179,258,258,139,112.3221,0
2,Flood,1,99,358,438,298,121.6439,2
1,Famine,0,279,219,219,319,178.514,1
2,Hurricane,1,159,119,199,80,179.4833,0
1,Famine,0,179,219,219,139,324.2873,1
1,Flood,1,139,139,139,219,181.3464,2
1,Famine,0,139,139,139,199,57.1183,1
1,Flood,0,139,199,199,100,144.5311,2
1,Hurricane,1,139,99,99,99,96.6566,1
1,Flood,1,139,338,338,159,164.8037,2
1,Famine,0,239,159,159,139,170.5029,1
2,Famine,0,179,139,278,99,179.8034,0
1,Flood,1,99,179,179,119,72.5276,2
1,Famine,1,219,258,258,179,177.5063,1
2,Flood,0,99,100,279,417,37.3363,2
1,Flood,1,119,80,80,179,151.5074,2
1,Famine,0,139,99,99,159,223.6096,1
1,Famine,0,219,298,298,259,168.5007,1
1,Famine,1,139,179,179,119,114.9282,1
1,Famine,0,179,80,80,299,148.0304,0
1,Famine,0,99,80,80,139,96.566,0
